id;provincia;ingreso;zona;obra_social;edad;jubilado;bancarizado;negativo;casado;hijos;sexo;auto
450;TUCUMAN;0M-10M;INTERIOR;otros;37;NO;NO;NO;NO;NO;M;SI
451;BUENOS_AIRES;50M+;INTERIOR;400800;49;NO;SI;NO;SI;NO;M;SI
452;BUENOS_AIRES;20M-30M;ZONA_SUR;406;40;NO;NO;NO;NO;NO;M;SI
453;MISIONES;0M-10M;INTERIOR;500807;75;SI;NO;NO;NO;NO;F;NO
454;CORDOBA;50M+;INTERIOR;400800;52;NO;SI;NO;SI;SI;M;SI
455;CHUBUT;30M-50M;INTERIOR;otros;27;NO;SI;NO;NO;NO;M;NO
456;BUENOS_AIRES;10M-20M;ZONA_OESTE;126205;49;NO;NO;NO;NO;SI;M;SI
457;BUENOS_AIRES;0M-10M;INTERIOR;500807;85;SI;NO;NO;NO;NO;F;NO
458;SANTA_FE;30M-50M;INTERIOR;otros;40;NO;SI;NO;NO;NO;M;NO
459;SANTA_FE;10M-20M;INTERIOR;otros;34;NO;SI;SI;NO;NO;F;SI
460;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;54;NO;NO;NO;NO;NO;M;SI
461;SALTA;20M-30M;INTERIOR;otros;52;NO;NO;NO;NO;NO;M;NO
462;BUENOS_AIRES;10M-20M;ZONA_SUR;106302;71;NO;NO;NO;NO;NO;F;NO
463;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;otros;63;NO;NO;NO;SI;NO;M;NO
464;SANTA_FE;10M-20M;INTERIOR;otros;44;NO;NO;NO;NO;NO;M;NO
465;ENTRE_RIOS;10M-20M;INTERIOR;otros;57;NO;SI;NO;NO;SI;M;SI
466;BUENOS_AIRES;10M-20M;ZONA_SUR;400800;30;NO;NO;NO;NO;NO;F;NO
467;BUENOS_AIRES;50M+;INTERIOR;otros;48;NO;SI;NO;NO;SI;M;SI
468;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;60;NO;NO;NO;NO;NO;F;NO
469;ENTRE_RIOS;20M-30M;INTERIOR;126205;40;NO;SI;NO;NO;NO;F;NO
470;ENTRE_RIOS;10M-20M;INTERIOR;500807;54;SI;SI;NO;SI;NO;M;SI
471;BUENOS_AIRES;50M+;ZONA_NORTE;406;42;NO;SI;NO;NO;NO;M;SI
472;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;406;36;NO;SI;NO;NO;NO;M;SI
473;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400909;63;NO;SI;NO;SI;NO;M;NO
474;SAN_JUAN;10M-20M;INTERIOR;otros;34;NO;SI;NO;NO;NO;M;SI
475;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;406;41;NO;NO;NO;NO;NO;M;SI
476;BUENOS_AIRES;10M-20M;INTERIOR;126205;39;NO;SI;NO;NO;NO;M;SI
477;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;otros;45;NO;NO;SI;NO;NO;M;SI
478;CORDOBA;10M-20M;INTERIOR;otros;31;NO;NO;NO;NO;NO;M;SI
479;ENTRE_RIOS;10M-20M;INTERIOR;126205;34;NO;SI;NO;NO;NO;M;NO
480;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;otros;64;NO;NO;NO;NO;NO;M;NO
481;BUENOS_AIRES;0M-10M;ZONA_NORTE;otros;34;NO;NO;NO;NO;NO;M;NO
482;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;126205;63;NO;NO;SI;NO;NO;M;NO
483;BUENOS_AIRES;20M-30M;INTERIOR;500807;74;SI;NO;NO;NO;NO;F;NO
484;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;106302;42;NO;SI;NO;NO;NO;F;SI
485;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;406;53;NO;SI;NO;NO;SI;F;SI
486;CHACO;30M-50M;INTERIOR;otros;57;NO;SI;NO;NO;SI;M;SI
487;BUENOS_AIRES;30M-50M;ZONA_OESTE;400909;45;NO;NO;SI;NO;SI;M;NO
488;NEUQUEN;20M-30M;INTERIOR;otros;58;NO;SI;NO;NO;NO;F;NO
489;BUENOS_AIRES;10M-20M;ZONA_NORTE;otros;36;NO;SI;NO;NO;NO;M;SI
490;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;46;NO;NO;SI;NO;NO;M;NO
491;MENDOZA;10M-20M;INTERIOR;otros;30;NO;NO;NO;NO;NO;M;SI
492;BUENOS_AIRES;10M-20M;INTERIOR;otros;40;NO;SI;NO;NO;SI;F;NO
493;BUENOS_AIRES;10M-20M;ZONA_SUR;126205;36;NO;NO;NO;NO;NO;F;NO
494;BUENOS_AIRES;30M-50M;INTERIOR;otros;52;NO;SI;NO;SI;NO;M;SI
495;CORDOBA;10M-20M;INTERIOR;otros;60;NO;SI;NO;NO;NO;M;SI
496;MENDOZA;0M-10M;INTERIOR;otros;42;NO;NO;NO;NO;NO;F;SI
497;CORDOBA;10M-20M;INTERIOR;otros;47;NO;SI;NO;NO;NO;M;SI
498;SAN_JUAN;10M-20M;INTERIOR;400909;34;NO;NO;SI;NO;SI;M;SI
499;RIO_NEGRO;10M-20M;INTERIOR;126205;47;NO;SI;NO;NO;NO;M;NO
500;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;otros;42;NO;SI;NO;NO;NO;M;SI
501;BUENOS_AIRES;30M-50M;ZONA_SUR;400800;44;NO;SI;NO;NO;NO;M;SI
502;BUENOS_AIRES;10M-20M;INTERIOR;otros;68;NO;NO;NO;NO;NO;F;SI
